17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int8', name='sex', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int64', name='createTime', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='离线功力', fieldType='int64', name='offLineGongLi', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='功力计算种子', fieldType='int64', name='gongLiRandomSeed', baseField=true, list=false, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='离线真气', fieldType='int64', name='offLineZhenQi', baseField=true, list=false, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='离线门派任务奖励', fieldType='p_award', name='offLineSectTaskAward', baseField=false, list=false, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='战斗属性', fieldType='p_states_double', name='fightAttribute', baseField=false, list=true, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='p_states_int', name='dailyStates', baseField=false, list=true, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='p_states_long', name='states', baseField=false, list=true, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='p_states_int', name='clientStates', baseField=false, list=true, capacity=16}
17:24:02.384 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='p_states_long', name='cdStates', baseField=false, list=true, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='道具使用列表', fieldType='p_states_int', name='propUseStates', baseField=false, list=true, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='称号列表', fieldType='p_states_long', name='titleStates', baseField=false, list=true, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='门派', fieldType='string', name='sectsName', baseField=true, list=false, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='联盟', fieldType='string', name='allianceName', baseField=true, list=false, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='产出离线数据 itemId,value', fieldType='int64', name='chanChuValues', baseField=true, list=true, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='string', name='xuanyan', baseField=true, list=false, capacity=16}
17:24:02.385 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='string', name='name', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='string', name='head', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='int8', name='sex', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='string', name='personal', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='int32', name='mainBaseBuildLevel', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='int32', name='maxPassGuanQiaSid', baseField=true, list=false, capacity=16}
17:24:02.386 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='p_dressed_Equip', name='equips', baseField=false, list=true, capacity=16}
17:24:02.387 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='p_out_Pet', name='pets', baseField=false, list=true, capacity=16}
17:24:02.387 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=true, explain='战斗属性', fieldType='p_states_double', name='fightAttribute', baseField=false, list=true, capacity=16}
17:24:02.387 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='p_base_build_simple', name='baseBuild', baseField=false, list=true, capacity=16}
17:24:02.387 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWritePlayerInfo Field{hasExplain=false, explain='null', fieldType='p_skill_Info', name='baseBuildSkills', baseField=false, list=true, capacity=16}
17:24:02.387 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildSimple Field{hasExplain=false, explain='null', fieldType='int32', name='type', baseField=true, list=false, capacity=16}
17:24:02.387 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildSimple Field{hasExplain=false, explain='null', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildInfo Field{hasExplain=false, explain='null', fieldType='int32', name='baseType', baseField=true, list=false, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildInfo Field{hasExplain=false, explain='null', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildInfo Field{hasExplain=false, explain='null', fieldType='int64', name='stopTime', baseField=true, list=false, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildInfo Field{hasExplain=true, explain='暂用着能量矿开采小时', fieldType='int32', name='value', baseField=true, list=false, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA BaseBuildInfo Field{hasExplain=true, explain='暂用着能量矿石购买（货币类型，购买次数）', fieldType='p_states_int', name='list', baseField=false, list=true, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA DressedEquip Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.388 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA DressedEquip Field{hasExplain=false, explain='null', fieldType='int32', name='sid', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA DressedEquip Field{hasExplain=false, explain='null', fieldType='int32', name='quality', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA DressedEquip Field{hasExplain=false, explain='null', fieldType='int32', name='star', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA DressedEquip Field{hasExplain=false, explain='null', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA OutPet Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA OutPet Field{hasExplain=false, explain='null', fieldType='int32', name='sid', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA OutPet Field{hasExplain=false, explain='null', fieldType='int32', name='quality', baseField=true, list=false, capacity=16}
17:24:02.389 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA OutPet Field{hasExplain=false, explain='null', fieldType='int32', name='star', baseField=true, list=false, capacity=16}
